,accuracy,contest_code,problem_code,successful_submissons,tags
0,12.585034013605002,NPLQ1601,RRTREGAM,36.0,"['easy-medium', 'game', 'grundy', 'numbers', 'theory']"
0,53.510638297872,NPLQ1601,NPLELA,479.0,"['basic-prog', 'sorting']"
0,9.523809523809499,NPLQ1601,NPLELD,17.0,"['maths', 'nplq1601', 'number-theory']"
0,41.538461538462,NPLQ1601,NPLELE,26.0,"['graphs', 'lazy', 'nplq1601', 'or', 'propagation', 'segment', 'tree']"
0,50.99337748344401,NPLQ1601,NPLELB,302.0,"['implementation', 'nplq1601']"
0,0.0,NPLQ1601,NPLELF,0.0,"['bipartite', 'edge-cover', 'graphs', 'prime']"
0,68.508997429306,NPLQ1601,NPLELG,508.0,"['cakewalk', 'nplq1601']"
0,2.9951690821256,OCT16,SEASTONE,86.0,"['dynamic-programming', 'medium']"
0,26.509124941507,OCT16,CHEFKEY,5278.0,"['loop', 'cakewalk', 'factorization', 'simple-math']"
0,2.4510301431036003,OCT16,BGQRS,371.0,['chasethered']
0,14.235831318829,OCT16,FENWITER,1999.0,"['easy', 'bit']"
0,25.998753329178,OCT16,CHDOGS,4314.0,"['simple', 'symmetry', 'trigonometry']"
0,1.9812680115274,OCT16,POWSUMS,45.0,"['dynamic-programming', 'matrix-expo', 'medium-hard']"
0,6.5855008301051,OCT16,CHEFTWOS,507.0,"['dynamic-programming', 'easy']"
0,1.8162393162393,OCT16,TREEBAL,13.0,"['binary-search', 'dynamic-programming', 'hard']"
0,0.6484483557202401,OCT16,GEOCHEAT,24.0,"['convex-hull', 'random', 'convex', 'geometry', 'hard']"
0,3.8461538461538,IPC15CMR,LBRACKET,3.0,"['data-structure', 'medium-hard', 'segment-tree']"
0,100.0,IPC15CMR,LEMPLOY,1.0,"['graph', 'hard', 'maxflow', 'mincut-maxflow']"
0,19.69696969697,IPC15CMR,ALTREE,13.0,"['dp+bitmask', 'graph']"
0,25.547445255474,IPC15CMR,MINWALK,33.0,"['dijkstra', 'easy-medium', 'graph', 'shortest-path']"
0,25.0,IPC15CMR,SVENGY,14.0,['greedy']
0,17.021276595745,IPC15FLC,LBRACKET,8.0,"['data-structure', 'medium-hard', 'segment-tree']"
0,15.384615384615,IPC15FLC,LEMPLOY,2.0,"['graph', 'hard', 'maxflow', 'mincut-maxflow']"
0,35.802469135802,IPC15FLC,ALTREE,27.0,"['dp+bitmask', 'graph']"
0,32.142857142857,IPC15FLC,MINWALK,35.0,"['dijkstra', 'easy-medium', 'graph', 'shortest-path']"
